id,total_comments,total_replies_received
@jacknascimento84,1,0
@luacodebreak,1,0
@Alephorta,2,0
@feborba14,1,0
@FruitLoops_,1,1
@eolucazz,1,0
@mariagcpp,1,0
@morte9330,1,0
@AlineLacerdaFarias,1,0
@noivadeyeshua86,1,2
@lulukinharocks,0,0
@Ttuv-h7p,1,0
@BrunoCadabra,1,3
@rosenascimento7568,3,0
@jeffersonleite9457,1,1
@luciamariadeoliveira-c1d,1,0
@gabigamertv4858,1,1
@marianonatoeseussonhoscria897,1,0
@MouramaMJMC,1,0
@FranciscoMuianga-n9v,1,0
@rosangelaoliva,1,0
@ZeniteNadir-m9z,1,0
@stphanieprofum3057,1,1
@cinthyamorais9379,1,0
@Aleunametrapgeek,1,0
@Adrielferreira921,1,2
@africanodesconfiado43,0,0
@SabedenadaNãosabo,0,0
@giorgio5181,1,1
@ribgyirado12,1,0
@edeltamarinho6154,1,0
@felipe_soares,1,0
@rosanabertofraga1576,1,0
@eduardovictorfurlaneto805,1,1
@vanildotavares3832,1,0
@arthurgomes4459,1,0
@IsabellaGomesMartins-m8q,1,0
@KenJi-v9m,1,0
@emiliaaraujo2835,1,0
@DaniestiloRock,1,0
@malucurty6343,1,0
@janainazenatti1745,1,0
@Comunista_Enrustida6378,7,2
@khadarakan,1,1
@zedom7,1,0
@PoloUnisaMogiMirim,3,0
@pedromirandamusica,1,0
@kaiqueabreu1,1,0
@anagalvao5357,1,1
@alananavarro3107,1,0
@Agathakarolyane,1,1
@silviocesar1652,1,0
@josealcinosilvaferreiralim5911,1,0
@kevenviniciusgz13,1,3
@samaralima9284,1,2
@EduxxMusic,0,0
@geisioliveira6894,1,0
,43,4
@cristiano-rr8hm,2,0
@Dayandrrade,1,0
@sheilafidelles5114,1,0
@YLAVEEP,1,0
@FPSbruno171,1,1
@laehehteb1515,1,0
@VGGSONGAMES,1,2
@CamaradaBelikov,0,0
@marciaadrianafernandes7874,1,0
@fabiana5863,1,0
@DIEGOGALLICHIO,1,0
@paolo7979,1,0
@tiku7049,1,0
@biancaramos1767,1,0
@marceloalves34890,2,3
@DaviSilva-l6j,1,0
@pedr0pastor3,1,1
@INICIANTEBR54,1,0
@monicagramado9366,3,0
@brabopva1579,1,0
@michelesantos690,1,0
@apenas_isso,1,0
@PatriciaFerreira-ff1vr,1,0
@DudasilvaSilva-r4x,1,0
@ouvindoDireitoASMR,1,0
@JairoSantos-t8z,1,0
@edsonjunior3103,1,0
@OsanaMaria-b5w,6,0
